Title,Description,Topic,Topic_isced,Size,Name,Discipline,Discipline_isced,Biography,Nationality,Gender,Position,Affiliation,Country_University,Prestige,Year,Location,Notes,
The effect of Cooperation on Resources acquisition and mortality,,Social Science,Social and behavioural science,7,Joao Filipe Monteiro,Mathematics,Mathematics and statistics,"I am a post-doc and my research interest focus in applying complex systems methods, including agent-based modeling with Bayesian approach, to examine factors that perpetuate HIV transmission. This work seeks to identify interventions that reduce infectious disease spread in HIV populations.",,Male,PostDoc,Brown University,United States,101-150,2013,Santa Fe,Kyle,
Complexity (trans)science: Forecasting social change,,Social Science,Social and behavioural science,7,Stephan Lehner,Aeronautics,Engineering and engineering trades,"I am a Research Assistant at the Institute of Air Transportation Systems at German Aerospace Center (DLR). My current research focus is on studying the interdependence of function and structure in complex systems of flow in general and air transport in particular. Reducing environmental impact while coping with growth and improving system performance are the current ""hot topics"" in this field. In my research, I apply ideas from complex network theory, systems thinking and optimization.

I got my Master from Purdue University in the field of aeronautics and astronautics where I performed research on genetic and memetic algorithms.

I also like skiing, playing bass guitar, travelling and South African red wine.",,Male,Researcher,German Aerospace Center,Germany,Not University,2013,Santa Fe,Kyle,
The effect of Cooperation on Resources acquisition and mortality,,Social Science,Social and behavioural science,7,Agam Gupta,Information Systems,Computing,"Hi! I am a graduate student in information systems management group at the Indian Institute of Management, Calcutta.

I am interested in modelling social and economic interactions and am currently trying to address concentration in e-markets with a focus on sponsored search digital advertising. The current research focuses on how concentration emerges out of the rules of interactions among various advertisers and how various positive feedbacks occur in the system. I wish to uncover these dynamics at look at sponsored search as dynamics of niche construction and niche destruction (the factors responsible for them)that could help us understand and develop a theory on concentration of the medium.",Indian,Male,Student,"Indian Institute of Management, Calcutta",India,Unlisted,2013,Santa Fe,Kyle,
Complexity (trans)science: Forecasting social change,,Social Science,Social and behavioural science,7,Matteo Smerlak,Physics,Physical sciences,"I'm a theoretical physicist, with interests ranging from general relativity to quantum mechanics and non-equilibrium statistical mechanics. I'd say the common theme in my research projects is ""relativity""—the realization that something is actually much more observer-dependent that I had imagined. I find this idea enormously beautiful, and tend to look for it everywhere. Did you know that your red T-shirt will be blue to me if I run (very fast) into your arms?

A couple of random ideas:

- One interesting connection between physics and evolution I've come across is the ""fluctuation theorem"". This mathematical property of stochastic processes turns out to provide a common explanation to the second law of thermodynamics (increase of entropy) and Darwinian evolution (increase of fitness). I've blogged about this on John Baez's ""Azimuth"" [1]. I'd love to know how you react to this surprising connection, and what outlook you see.

- The result which really got me excited about complex systems is West's and Bettencourt's ""scaling law of cities"" [2]. As far as I can tell, it's really the first ""law of cities"". Does it tell us whether cities—like animals—have a maximal size?",,Male,Researcher,Max Planck Institute for Gravitational Physics,Germany,Not University,2013,Santa Fe,Kyle,
The effect of Cooperation on Resources acquisition and mortality,,Social Science,Social and behavioural science,7,Maarten Wensink,Demography,Social and behavioural science,NA,,Male,Student,Max Planck Research Group Modeling the Evolution of Aging,Germany,Not University,2013,Santa Fe,Kyle,
Complexity (trans)science: Forecasting social change,,Social Science,Social and behavioural science,7,Vanessa Schweizer,Engineering & Public Policy,Engineering and engineering trades,"I am a postgraduate scientist in the Integrated Science Program at NCAR (the National Center for Atmospheric Research) in Boulder, CO. My PhD is in Engineering and Public Policy from Carnegie Mellon University, where I was affiliated with the Climate Decision Making Center. My research interests include characterizing the human dimensions of global change namely greenhouse gas emissions due to socioeconomic development (i.e., energy demand and land use) and development policies that affect socioeconomic vulnerability to changes in climate (i.e., capacities for preventing or responding to crop failures and damages from extreme weather events). I use a technique for constructing and studying self-consistent socioeconomic scenarios called cross-impact balance (CIB) analysis. In the literature, CIB has been described as analogous to multi-value Kauffman nets and cellular automata.

I am self-taught in the CIB technique and look forward to learning more about graph theory and other versions of network analysis. I am interested in applying tools from complexity science to problems of decision making under uncertainty and to planning for socio-ecological resilience. My ideas for some connections are that decision making under uncertainty might be better aided through nested, conditional scenarios (as opposed to the presentation of small sets of alternative horizontal scenarios, which is currently the dominant practice). Through investigating the many pathways of nested scenarios, critical transitions in socio-ecological systems (and decision points for desirable or undesirable futures) may become more obvious.",,Female,PostDoc,National Center for Atmospheric Research,United States,Not University,2013,Santa Fe,Kyle,
The effect of Cooperation on Resources acquisition and mortality,,Social Science,Social and behavioural science,7,Bapu Vaitla,International Relations,Social and behavioural science,"Bapu Vaitla completed his PhD in International Relations at the Fletcher School at Tufts University in 2012. His research focuses on the political economy of child undernutrition in the developing world. Generally, he is interested in how good change happens with respect to public health: the means by which political obstacles to collective action around hunger and illness are overcome. He holds an MS in agriculture and a BA in human ecology, both from the University of California-Davis, and has worked for NGOs and multilateral organizations in India, Ethiopia, Brazil, and the US.",,Male,Student,Tufts University,United States,151-200,2013,Santa Fe,Kyle,
The effect of Cooperation on Resources acquisition and mortality,,Social Science,Social and behavioural science,7,Pablo Galindo,"Psychology, Economics",Social and behavioural science,Evolutionary Psychologist and Austrian Economist.,,Male,Student,Universidad Francisco Marroquín,Guatemala,Unlisted,2013,Santa Fe,Kyle,
Complexity (trans)science: Forecasting social change,,Social Science,Social and behavioural science,7,Alastair Jamieson-lane,Mathematics,Mathematics and statistics,"I'm Alastair. Let's see... ummm... I'm from New Zealand. I'm currently studying evolutionary game theory with Christoph Hauret at the university of British Columbia. I'm here because... I study mathematics, and mathematics is very much a subject which needs to be applied to things, and I like the huge variety of subjects and applications we'll be studying here.

Outside Mathematics I'm most interested in Computer creativity (eg programming self generating games, stories etc) board game design and story writing. I love morally ambiguous characters and my favorite book is Red Mars. If you haven't read that book you should. Preferably right now.

My super powers include programming, building mathematical models, asking random questions, a slightly obsessive nature and a legally questionable interest in architecture.

My super weaknesses include organisation, handwriting, dependence on sleep, a slightly obsessive nature and inability to come up with coherent lists.

I'm really hoping to work on twoish projects this summer. Also, if anyone is interested in self generating platform games I'm currently seeing if I can rope people in on a project I'm working on.

If you need to find me, I'm in room 16 of Urania, so that's the front corner of the building right next to the linen swap room. Feel free to knock on my door and/or windows... not sure how often I'll be there though. There's also email, but I'm not sure how wise it is to put an email address up on a public page- will that attract spambots? Who knows, whatever.

Oh also- here is a link to the random questions I've been asking. I hope to have a different one each day. Feel free to add your answers with or without a name and/or explanation. Random Questions",New Zealand,Male,Student,University of British Columbia,Canada,Top 50,2013,Santa Fe,Kyle,
Complexity (trans)science: Forecasting social change,,Social Science,Social and behavioural science,7,Nix Barnett,Applied Mathematics,Mathematics and statistics,NA,United States,Male,Student,University of California Davis,United States,51-100,2013,Santa Fe,Kyle,
Complexity (trans)science: Forecasting social change,,Social Science,Social and behavioural science,7,Hua Cai,Sustainability,Environmental protection,"I'm a Ph.D. student in the School of Natural Resources and Environment, University of Michigan. I'm interested in applying complex system to understand emerging technologies and their implications in sustainability. I received my B.S. from Tsinghua University in China and my M.S. from the Pennsylvania State University, both in environmental engineering.

I adore the nature and enjoy camping, backpacking, diving, etc.",Chinese,Female,Student,University of Michigan,United States,Top 50,2013,Santa Fe,Kyle,
Complexity (trans)science: Forecasting social change,,Social Science,Social and behavioural science,7,Melinda Varga,Physics,Physical sciences,NA,,Female,Student,University of Notre Dame,United States,201-300,2013,Santa Fe,Kyle,
Synthesizing questions- in search of a simple analog of complexity,,Complexity,Social and behavioural science,1,Mengsen Zhang,Biochemistry,Life sciences,"I'm a student of bio-medicine, psychology, neuroscience and sociology. I am also a singer, a poet, a board game player and a philosopher. I look for knowledge, rationality and intuition to understand the evolution of energy and space. I am from China.",Chinese,Female,Student,University of Pennsylvania,United States,Top 50,2013,Santa Fe,Kyle,
The effect of Cooperation on Resources acquisition and mortality,,Social Science,Social and behavioural science,7,Ivana Stankov,Epidemiology,Health,"Hi everyone, I am a first year PhD Candidate in the Social Epidemiology and Evaluation Research Group. My research interest lies in using the principles of complexity science to conceptualise and explore the dynamic nature of place-health relationships. I am particularly interested in understanding how the built urban landscape interacts with a neighbourhood’s social fabric, to shape the health of its residents. As part of this course, I am really looking forward to being challenged and learning in an interdisciplinary environment rife with creativity and diverse perspectives. I am hoping to learn more about complexity science as well as complex systems methods including agent-based modelling and those used in systems dynamics.",,Female,Student,University of South Australia,Australia,Unlisted,2013,Santa Fe,Kyle,
Can simple models reproduce complex transportation networks: Human cities and ant colonies,,Urban Planning,Architecture and building,10,Alberto Antonioni,Economics,Social and behavioural science,"I studied Mathematics and I got my Bachelor's and Master's Degree from the University of Turin, Italy, in 2008 and 2010. Currently, I have just approached my fourth year as PhD Student at the Faculty of Business and Economics of the University of Lausanne, Switzerland. I am also affiliated to the Department of Mathematics at the Charles III University of Madrid, Spain, where I am carrying out a joint supervision of doctoral studies",Italian,Male,PhD Student,University of Lausanne,Switzerland,101-150,2014,Santa Fe,Kyle,
Can simple models reproduce complex transportation networks: Human cities and ant colonies,,Urban Planning,Architecture and building,10,Alex Brummer,Physics,Physical sciences,"Alex is a PhD student in physics at the University of Arizona. After getting his MSc in Nuclear Physics, Alex transitioned into studying resource distribution networks and is currently investigating the branching architectures of trees and the mammalian cardiovascular and respiratory systems. His aim is to incorporate asymmetric branching geometries into current network models to examine their effects on allometric relationships. Alex is excited at the prospect of meeting potential collaborators and companions this summer, as well as exploring the New Mexico backcountry.",,Male,PhD Student,University of Arizona,United States,101-150,2014,Santa Fe,Kyle,
Can simple models reproduce complex transportation networks: Human cities and ant colonies,,Urban Planning,Architecture and building,10,Morgan Edwards,Systems Engineering,Engineering and engineering trades,"Morgan Edwards is a doctoral student in the Engineering Systems Division at MIT. She received her S.M. in Technology and Policy from MIT and her B.S. in Environmental Science with a second major in Economics from UNC Chapel Hill. Before coming to MIT, she worked on alternative energy and energy efficiency projects in Thailand, Russia, and the United States. Her research focuses on developing tools to assess the performance of energy technologies in the face of changing climate constraints.",United States,Female,PhD Student,MIT,United States,Top 50,2014,Santa Fe,Kyle,
Can simple models reproduce complex transportation networks: Human cities and ant colonies,,Urban Planning,Architecture and building,10,Bernardo Furtado,Urban Planning,Architecture and building,"Hi everyone, I am an urban analyst with a background on architecture, geography and economics with a PhD from University of Utrecht and UFMG/Brazil (in co-tutorship). I am a tenured researcher and, presently, I hold a Deputy Director position at a think-tank attached to the government (IPEA) and a researcher productivity grant from CNPq. My main focus nowadays is public policy. At the moment, I am leading a project with international consultants to write a book about Modeling Complex Systems for Public Policies. I am also trying to develop a model of public finances which could gain a lot from other CSSS participants� inputs. In my spare time I like reading Scandinavian thriller literature, watching tennis on TV, running, and riding my (old) bike.",Brazilian,Male,Researcher,Institute for Applied Economic Research,Brazil,Not University,2014,Santa Fe,Kyle,
Can simple models reproduce complex transportation networks: Human cities and ant colonies,,Urban Planning,Architecture and building,10,James Holdener,Systems Engineering,Engineering and engineering trades,James is a Principal Engineer for The MITRE Corporation in the Systems Engineering Technical Center. James has developed several systems for the government including the Towed Oceanographic Survey System and Joint Synthetic Battlespace. In his spare time James runs Rainbow Acres Farm and occasionally hashes (on-on!).,United States,Male,Industry,MITRE Corporation,United States,Not University,2014,Santa Fe,Kyle,
Can simple models reproduce complex transportation networks: Human cities and ant colonies,,Urban Planning,Architecture and building,10,Michael Kalyuzhny,"Ecology, Physics","Physical sciences, Life sciences","A lover of nature and science. I completed a B.Sc in Biology and M.Sc. in Ecology, Evolution and Behavior in the Hebrew University of Jerusalem, Israel. I now study for my Ph.D. under a joint supervision of an Ecologist and a Physicist. I use models to study the diversity and stability of ecological communities and explain some of their emergent empirical patterns. In my free time I enjoy hiking, reading history books and bird-watching.",Israeli,Male,PhD Student,Hebrew University of Jerusalem,Israel,51-100,2014,Santa Fe,Kyle,
Can simple models reproduce complex transportation networks: Human cities and ant colonies,,Urban Planning,Architecture and building,10,Claire Lagesse,Mathematics,Mathematics and statistics,"PhD Student in 2nd year at the University Paris Diderot, in the laboratory MSC (Complex Matter and Systems), under the direction of S. Douady (physicist, CNRS) and P. Bordin (geomatician, ESTP). My research deals with spatial graph structure and dynamics with an application to road network to model the urban morphogenesis. I am specialized in computer science and geomatics (mathematics applied to geographic information).",French,Female,PhD Student,University Paris Diderot,France,101-150,2014,Santa Fe,Kyle,
Can simple models reproduce complex transportation networks: Human cities and ant colonies,,Urban Planning,Architecture and building,10,Diana LaScala-Gruenewald,Marine Biology,Life sciences,"After finishing an undergraduate degree in Biological Engineering at MIT, I transitioned to marine biology at Hopkins Marine Station at Stanford University. I am halfway through my doctoral studies, and am hoping to expand my understanding of complex systems science at SFI this summer. My dissertation research focuses on the scaling properties of foraging behavior, and how those properties change with environmental factors. More specifically, I examine how limpets (small marine snails) shift their behavior in response to food distributions, topographical features and wave forces.

My academic interests are as follows: 1) How do simple searchers navigate complex environments? 2) How do food distributions affect foraging behavior? 3) How does one quantify searching behavior? 4) I also maintain interests in food webs and the long-term effects of climate change on marine organisms.

I would be very interested in contributing to group projects that address any of these topics, either directly or indirectly. However, I am also open to new ideas. I am a proficient programmer in Python and MATLAB, but am new to NetLogo and R.",,Female,PhD Student,Stanford University,United States,Top 50,2014,Santa Fe,Kyle,
Can simple models reproduce complex transportation networks: Human cities and ant colonies,,Urban Planning,Architecture and building,10,Ernest Yu Liu,Applied Mathematics,Mathematics and statistics,"Now I'm a PhD student (the first year) in Mathematics Department of Uppsala University, Sweden. My major is Applied Mathematics, and specifically our group studies on Collective Animal Behavior which is quite interdisciplinary. I used to study Physics, and Plasma Physics in Sichuan University, China. I would say, my interests are very broad, and I'm eager to learn different things from different respects. Regardless of ambitions, nowadays my interests are roughly about how neuron connects and works (how brain works), how abiotic molecules or atoms become biotic (why it happens spontaneously).",Chinese,Male,PhD Student,Uppsala University,Sweden,51-100,2014,Santa Fe,Kyle,
Can simple models reproduce complex transportation networks: Human cities and ant colonies,,Urban Planning,Architecture and building,10,Rohan Mehta,Biology,Life sciences,"I am a first-year biology PhD student at Stanford University, planning to work on various topics in population genetics and evolutionary dynamics. My interest in complex systems stems from my desire to explore the two-way relationship between the organization and the evolution of a biological systems. One particular interest is the evolution of communities of organisms that are primarily linked together through metabolic interactions.",,Male,PhD Student,Stanford University,United States,Top 50,2014,Santa Fe,Kyle,
Fractals and Scaling in Finance: a comparison of two models,,Economics,"Computing, Social and behavioural science",5,Vipin Veetil,Economics,Social and behavioural science,"I am a third year PhD student in the Department of Economics at George Mason University. I have some experience with building agent-based models using Python. I have also dabbled a bit with modeling emergence of norms in social networks. Prior to entering the PhD program, I studied economics and finance.

Of late I have been thinking about the following two questions.",,Male,PhD Student,George Mason University,United States,201-300,2014,Santa Fe,Kyle,
Fractals and Scaling in Finance: a comparison of two models,,Economics,"Computing, Social and behavioural science",5,Blaz Krese,Engineering,Engineering and engineering trades,"I obtained BSc and PhD degrees from the Faculty of Mechanical Engineering at the University of Ljubljana, Slovenia in 2009 and 2012, respectively. My research focus is on applying methods of complex systems theory in order to grasp a deeper understanding of the observed real-life system behavior. Most recently I have been interested in traffic flow dynamics and financial engineering, especially in building a fundamental model for electricity prices in international electricity market.",,Male,PostDoc,University of Ljubljana,Slovenia,401-500,2014,Santa Fe,Kyle,
Fractals and Scaling in Finance: a comparison of two models,,Economics,"Computing, Social and behavioural science",5,Qiao Zhi,Engineering,Engineering and engineering trades,"I am a PhD student in National University of Singapore Graduate School for Integrative Sciences and Engineering. My research focuses on the complexity and dynamics of the financial market and the economy as a whole. With two bachelor degrees in Software Engineering and Finance, I have been always trying to undercover the underlying dynamics in the financial market as well as the complex financial networks by using physics theories, statistics and computing techniques. I am also an active entrepreneur and previously led a team by founding a company which won several prizes in entrepreneurship competitions.",Singapore,Male,PhD Student,National University of Singapore,Singapore,51-100,2014,Santa Fe,Kyle,
Fractals and Scaling in Finance: a comparison of two models,,Economics,"Computing, Social and behavioural science",5,Leo Horstmeyer,Physics,Physical sciences,I have started out with a physics degree at Imperial College London and moved on to do a masters in mathematical physics in Munich and short master in mathematics in Cambridge. Now I'm a PhD student at the Max Planck Institute for Mathematics in the Sciences looking at aggregations of smooth dynamical systems,,Male,PhD Student,Max Planck Institute for Mathematics in the Sciences,Germany,Not University,2014,Santa Fe,Kyle,
Fractals and Scaling in Finance: a comparison of two models,,Economics,"Computing, Social and behavioural science",5,Cornelia Metzig,Statistics,Mathematics and statistics,"Cornelia earned a diploma in physics at the Karlsruhe Institute of Technology, Germany (2010) and a MSc in Applied Mathematics at the University of Grenoble, France (2008), where she also earned her Ph.D. (2013). She is interested in statistical physics, complex systems, stochastic and evolutionary growth processes, and machine learning. In her Ph.D. project, she has applied these concepts in an agent-based macroeconomic model and validated it with firm data. She also collaborated with computer scientists to exploit complex phenomena in web databases for machine learning purposes.",,Female,PostDoc,University of Grenoble,France,151-200,2014,Santa Fe,Kyle,
Social Institutions and Economic Inequality Modeling the onset of the Kuznets Curve,,Policy,Social and behavioural science,6,Bernardo Furtado,Urban Planning,Architecture and building,"Hi everyone, I am an urban analyst with a background on architecture, geography and economics with a PhD from University of Utrecht and UFMG/Brazil (in co-tutorship). I am a tenured researcher and, presently, I hold a Deputy Director position at a think-tank attached to the government (IPEA) and a researcher productivity grant from CNPq. My main focus nowadays is public policy. At the moment, I am leading a project with international consultants to write a book about Modeling Complex Systems for Public Policies. I am also trying to develop a model of public finances which could gain a lot from other CSSS participants� inputs. In my spare time I like reading Scandinavian thriller literature, watching tennis on TV, running, and riding my (old) bike.",Brazilian,Male,Researcher,Institute for Applied Economic Research,Brazil,Not University,2014,Santa Fe,Kyle,
Social Institutions and Economic Inequality Modeling the onset of the Kuznets Curve,,Policy,Social and behavioural science,7,Catherine Bale,Chemistry,Physical sciences,"Hello! I'm Research Fellow at the University of Leeds (UK), working across the disciplines of engineering, economics and social science. My background is interdisciplinary: my PhD was in Physical Chemistry but I�ve also worked in the public sector with businesses. My research interests centre on energy systems and their transformation in order to achieve affordable low-carbon energy. I work with local government organisations in the UK and, more widely, am also interested in how complexity tools can be applied to energy challenges and translated into policy action.

At the CSSS I hope to gain a deeper understanding of the range of tools that can be used to investigate complex systems, meet people with different perspectives, and come away with new ideas for my research.",,Female,PostDoc,University of Leeds,United Kingdom,101-150,2014,Santa Fe,Kyle,
Social Institutions and Economic Inequality Modeling the onset of the Kuznets Curve,,Policy,Social and behavioural science,7,James Gentile,Computer Science,Computing,Dr. James E. Gentile is a Senior Computer Scientist at The MITRE Corporation. His simulation teeth were cut modeling mosquito populations and he now works with very large scale agent-based models.,,Male,Industry,MITRE Corporation,United States,Not University,2014,Santa Fe,Kyle,
Social Institutions and Economic Inequality Modeling the onset of the Kuznets Curve,,Policy,Social and behavioural science,7,Heath Henderson,Economics,Social and behavioural science,"Heath Henderson is a research fellow at the Inter-American Development Bank where he conducts research and supports impact evaluations in such countries as Brazil, Costa Rica, and Ecuador. Originally from Rochester, MN, he attended graduate school at American University in Washington, DC where he received a PhD in economics and a MA in international politics. His dissertation, titled ""Nicaragua, the Food Crisis, and the Future of Smallholder Agriculture,"" examined equity-efficiency tradeoffs in the distribution of agricultural landholdings in developing countries by focusing on the case of Nicaragua. Generally speaking, his research interests include development economics, economic inequality, computational economics, and econometrics",United States,Male,PostDoc,Inter-American Development Bank,United States,Not University,2014,Santa Fe,Kyle,
Social Institutions and Economic Inequality Modeling the onset of the Kuznets Curve,,Policy,Social and behavioural science,7,Brais Alvarez-Pereira,Economics,Social and behavioural science,"I am studying the third year of my PhD in Economics at the European University Institute, with a scholarship given by the Spanish Government. I was born in Galicia, in the Northwest of Spain and lived there until the end of the second year of my Economics degree, spending most of my free time in a little village with four houses. After that I moved to Glasgow to finish my Bachelors, then to London for the masters, and finally to Florence. My research focuses in the role of information inequality and peer effects on different social systems and markets. I am currently studying the triggering of mass protests in authoritarian regimes, the significance of peer effects for Pakistan civil servants� productivity, the effect of graph temperature and entropy on consensus time in regular networks, the role of heterogeneous expectations about future prices across Spanish households during the last housing bubble, and the support for increasing regional autonomy and independence in Western Europe. My interests outside of the office are even more dispersed! I will be arriving to Santa F� in the middle of an internship at the International Labour Organization, in Geneva, very grateful to the manager of the project for facilitating me to combine both experiences, and looking forward to it!",Spanish,Male,PhD Student,European University Institute,Italy,Unlisted,2014,Santa Fe,Kyle,
Social Institutions and Economic Inequality Modeling the onset of the Kuznets Curve,,Policy,Social and behavioural science,7,Bernardo Furtado,Urban Planning,Architecture and building,"Hi everyone, I am an urban analyst with a background on architecture, geography and economics with a PhD from University of Utrecht and UFMG/Brazil (in co-tutorship). I am a tenured researcher and, presently, I hold a Deputy Director position at a think-tank attached to the government (IPEA) and a researcher productivity grant from CNPq. My main focus nowadays is public policy. At the moment, I am leading a project with international consultants to write a book about Modeling Complex Systems for Public Policies. I am also trying to develop a model of public finances which could gain a lot from other CSSS participants� inputs. In my spare time I like reading Scandinavian thriller literature, watching tennis on TV, running, and riding my (old) bike.",Brazilian,Male,Researcher,Institute for Applied Economic Research,Brazil,Not University,2014,Santa Fe,Kyle,
Social Institutions and Economic Inequality Modeling the onset of the Kuznets Curve,,Policy,Social and behavioural science,7,Claudius Graebner,Economics,Social and behavioural science,"I grew up close to Frankfurt a. M. in Germany. After finishing school I worked for 13 months in Chiapas, Mexico, for a human rights organizations. I then studied Economics, Law and Social Sciences at the University of Erfurt, Germany, and worked for an organization supporting social projects in Latin America. After my graduation in 2012 I worked as a consultant for the KfW Development Bank. Since May 2013 I am a research assistant and PhD candidate at the Institute for Institutional and Innovation Economics (iino) at Bremen University. My research interests include questions of economic and human development, the emergence and persistence of poverty traps and the methodological foundations of agent-based computational economics.",German,Male,PhD Student,Bremen University,Germany,401-500,2014,Santa Fe,Kyle,
Social Institutions and Economic Inequality Modeling the onset of the Kuznets Curve,,Policy,Social and behavioural science,7,Francesca Lipari,Economics,Social and behavioural science,"I am currently enrolled at my third year of the Ph.D. in Economic Theory and Institutions at the University of Rome Tor Vergata. I am also a visiting scholar at the PPE (philosphy, Politics and Economics) programme of the University of Pennsylavania. My research focuses on motivation and beliefs in decision making, agency and development, institutions, political economy. I am currently studying how motivations and identity based beliefs trigger decision making and shape responses to public policy oriented to development; specifically educational choice and social mobility trends. I am also working on reinforcement learning model to better understand how identity traits become salient and shape people's aspirations and behavior",Italian,Female,PhD Student,University of Tor Vergata,Italy,Unlisted,2014,Santa Fe,Kyle,
Structural Robustness in Road Networks,,Networks,"Computing, Architecture and building",2,Alireza Goudarzi,Computer Science,Computing,"I am a second year PhD computer science student in the University of New Mexico. My broad research area is computation and learning in dynamical systems with application to computation using biomolecular systems and self-assembled nanoscale networks. Align with my broad research area, I am interested in machine learning, data mining, dynamical system theory, artificial intelligence, computational learning theory, physics of disordered systems, complex networks and related fields.

Currently, my focus is on reservoir computing, which is a new paradigm in neural networks and has shown great performance in non-linear and chaotic signal processing. In contrast to traditional neural networks, in which the system is fine tuned using a learning algorithm to solve a particular task, in reservoir computing a recurrent neural network is initialized and fixed with no further fine tuning. The signal is given to the network and a linear readout layer performs a linear combination of the states to produce the target output. The weights of the linear combination is calculated using linear regression which can be performed in closed form efficiently. My goal is to understand this paradigm better and study what kinds of problems they can and they cannot solve and how the paradigm can be applied to unconventional computing substrates such as nanoscale self-assembled electronics or DNA molecules.

My most recent work on reservoir computing is the direct estimation of error in task solving based on the structure of the dynamical system and statics of the input and output. The approach is currently limited to linear systems but I'm hoping to extend it to nonlinear systems and systems with finite dynamic range. I would be happy to talk about this more to other summer school students and even collaborate on taking it further.",,Male,PhD Student,University of New Mexico,United States,301-400,2014,Santa Fe,Kyle,
Structural Robustness in Road Networks,,Networks,"Computing, Architecture and building",2,Claire Lagesse,Mathematics,Mathematics and statistics,"PhD Student in 2nd year at the University Paris Diderot, in the laboratory MSC (Complex Matter and Systems), under the direction of S. Douady (physicist, CNRS) and P. Bordin (geomatician, ESTP). My research deals with spatial graph structure and dynamics with an application to road network to model the urban morphogenesis. I am specialized in computer science and geomatics (mathematics applied to geographic information).",French,Female,PhD Student,University Paris Diderot,France,101-150,2014,Santa Fe,Kyle,
Toward a joint unified framework to understanding biodiversity,,Ecology,Life sciences,3,Cornelia Metzig,Statistics,Mathematics and statistics,"Cornelia earned a diploma in physics at the Karlsruhe Institute of Technology, Germany (2010) and a MSc in Applied Mathematics at the University of Grenoble, France (2008), where she also earned her Ph.D. (2013). She is interested in statistical physics, complex systems, stochastic and evolutionary growth processes, and machine learning. In her Ph.D. project, she has applied these concepts in an agent-based macroeconomic model and validated it with firm data. She also collaborated with computer scientists to exploit complex phenomena in web databases for machine learning purposes.",,Female,PostDoc,University of Grenoble,France,151-200,2014,Santa Fe,Kyle,
Toward a joint unified framework to understanding biodiversity,,Ecology,Life sciences,3,Diego Barneche,Ecology,Life sciences,"I am a PhD candidate in Macroecology at Macquarie University. Passionate about global patterns of diversity, macroevolution, and statistical and mathematical modelling. I enjoy learning and teaching programming skills for science, outdoor sports and the interplay between diet, nutrition, energy flow and sustainability. website",,Male,PhD Student,Macquarie University,Australia,201-300,2014,Santa Fe,Kyle,
Toward a joint unified framework to understanding biodiversity,,Ecology,Life sciences,3,Michael Kalyuzhny,"Ecology, Physics","Physical sciences, Life sciences","A lover of nature and science. I completed a B.Sc in Biology and M.Sc. in Ecology, Evolution and Behavior in the Hebrew University of Jerusalem, Israel. I now study for my Ph.D. under a joint supervision of an Ecologist and a Physicist. I use models to study the diversity and stability of ecological communities and explain some of their emergent empirical patterns. In my free time I enjoy hiking, reading history books and bird-watching.",Israeli,Male,PhD Student,Hebrew University of Jerusalem,Israel,51-100,2014,Santa Fe,Kyle,
Non-Linear Effects of Pesticides on Food Web Dynamics,,Ecology,Life sciences,4,Brian Thompson,Computer Science,Computing,"I just received my PhD in Computer Science from Rutgers University, on ""Models and Algorithms for Event-Driven Networks."" My research interests are rooted in algorithms, combinatorics, graph theory, and data mining, and my projects have explored topics such as information diffusion, anomaly detection in communication networks, security and privacy in data sharing, and game-theoretic models for collaborative behavior. I'm particularly interested in developing new stochastic models and algorithms to discover latent correlations and influence in large networks. I'm always happy to talk about my work, discuss related ideas, or hear about new application domains, so if this sounds interesting to you, please find me on Facebook or email me at the address below and say hi!",United States,Male,PhD Student,Rutgers University,United States,101-150,2014,Santa Fe,Kyle,
Non-Linear Effects of Pesticides on Food Web Dynamics,,Ecology,Life sciences,4,Nhat Nguyen,Medicine,Health,"I'm a first year PhD Student in Clinical Medicine at Oxford University. My research objective is to investigate the immunity waning dynamic for different influenza strains using serosurveillance cross-sectional data collected in Southern Vietnam since Jul-09. My other research focus is to investigate the seasonality of dengue transmission in Vietnam. In my free time, I enjoy playing with my dog, reading books, swimming, and traveling.",,Male,PhD Student,University of Oxford,United Kingdom,Top 50,2014,Santa Fe,Kyle,
Non-Linear Effects of Pesticides on Food Web Dynamics,,Ecology,Life sciences,4,Elizabeth Lusczek,Medicine,Health,"Beth does research in the Department of Surgery at the University of Minnesota. Her Ph.D. is in biophysics. She is interested in circadian rhythms, biological oscillators, and biological networks. She wishes to understand biological network dynamics and the roles that observable pathophysiology and periodic structures play in these dynamics. If physiological symptoms such as increased temperature or heart rate result from altered network structure, function, and dynamics (or vice versa), there is therapeutic potential in manipulation of these networks. Interactions of cellular, genetic, and metabolic networks with observable physiology may be hierarchical and should cross multiple scales.

She looks forward to forming new personal and professional relationships at CSSS and having many conversations over a craft beer or two this summer.",,Female,Researcher,University of Minnesota,United States,Top 50,2014,Santa Fe,Kyle,
Non-Linear Effects of Pesticides on Food Web Dynamics,,Ecology,Life sciences,4,Sanja Selakovic,Ecology,Life sciences,"Sanja studied Ecology and Environmental Sciences at University of Belgrade where she did her Master thesis and conduct a research on fitness and parasites in carnivore species (jackals, wolves, foxes..). From 2011, she is a PhD student at Utrecht University where she works on a project ""Infectious agents in complex food webs"" as a part of Complexity program in The Netherlands . Sanja is especially interested in direct and indirect influences of different types of disease agents on structure, functioning and stability of food webs.",,Female,PhD Student,Utrecht University,Netherlands,51-100,2014,Santa Fe,Kyle,
