Topic,Topic_isced,Size,Discipline,Discipline_isced,Nationality,Gender,Position,Country_University,Prestige,Year,Location,
Biology,Life sciences;Computing,7,Physics,Physical sciences,,Male,Student,Hong Kong,201-300,2014,Santa Fe,
Biology,Life sciences;Computing,7,Medicine,Health,Japanese,Male,Researcher,United States,Top 50,2014,Santa Fe,
Biology,Life sciences;Computing,10,Economics,Social and behavioural science,,Male,Student,Germany,Not University,2014,Santa Fe,
Biology,Life sciences;Computing,10,Engineering,Engineering and engineering trades,Singapore,Male,Student,Singapore,51-100,2014,Santa Fe,
,Life sciences;Computing,4,"Biology, Ecology",Life sciences,Uruguay,Female,Researcher,Chile,401-500,2017,Santa Fe,
Biology,Life sciences;Computing,10,Computer Science,Computing,United States,Male,Student,United States,101-150,2014,Santa Fe,
Biology,Life sciences;Computing,7,Computer Science,Computing,United States,Male,Student,United States,101-150,2014,Santa Fe,
Biology,Life sciences;Computing,10,Marine Biology,Life sciences,,Female,Student,United States,Top 50,2014,Santa Fe,
Biology,Life sciences;Computing,7,Ecology,Life sciences,Brazilian,Female,Student,Brazil,151-200,2014,Santa Fe,
,Life sciences;Computing,4,Ecology,Life sciences,,Female,Student,United States,101-150,2017,Santa Fe,
"Biology, Computer Science",Life sciences;Computing,4,"Physics, Complexity Science",Physical Sciences;Computing,,Male,Student,Canada,151-200,2009,Santa Fe,
"Information Theory, Biology",Life sciences;Computing,2,"Physics, Computer Science, Engineering",Physical sciences;Engineering and engineering trades,,Male,Student,United States,51-100,2007,Santa Fe,
"Biology, Computer Science",Life sciences;Computing,4,Neuroscience,Life sciences,,Female,Student,United States,Top 50,2009,Santa Fe,
"Biology, Computer Science",Life sciences;Computing,4,Physics,Physical Sciences,,Female,Student,United States,Top 50,2009,Santa Fe,
"Biology, Computer Science",Life sciences;Computing,4,Public Policy,Social and behavioural science,,Male,Student,United States,Top 50,2009,Santa Fe,
Biology,Life sciences;Computing,7,Medicine,Health,,Female,Researcher,United States,Top 50,2014,Santa Fe,
Biology,Life sciences;Computing,10,Computer Science,Computing,Pakistani,Male,Student,Germany,Unlisted,2014,Santa Fe,
,Life sciences;Computing,4,Physics,Physical sciences,,Male,Student,United States,151-200,2017,Santa Fe,
"Information Theory, Biology",Life sciences;Computing,2,Information Technology,Computing,,Male,Student ,Australia,51-100,2007,Santa Fe,
Biology,Life sciences;Computing,7,Economics,Social and behavioural science,,Male,Student,United States,101-150,2014,Santa Fe,
Biology,Life sciences;Computing,7,Chemistry,Physical sciences,Spanish,Male,Student,Switzerland,51-100,2014,Santa Fe,
Biology,Life sciences;Computing,10,Applied Mathematics,Mathematics and statistics,Chinese,Male,Student,Sweden,51-100,2014,Santa Fe,
,Life sciences;Computing,4,"Mathematics, Innovation Science",Mathematics and statistics;Business and administration,,Male,Student,Netherlands,51-100,2017,Santa Fe,
Biology,Life sciences;Computing,10,Biology,Life sciences,,Female,Student,Netherlands,51-100,2014,Santa Fe,
Biology,Life sciences;Computing,10,Medicine,Health,United States,Male,Researcher,United States,Not University,2014,Santa Fe,
Biology,Life sciences;Computing,10,FIne Arts,Arts,,Female,Student,United States,Top 50,2014,Santa Fe,
,Life sciences;Engineering and engineering trades,3,Bioinformatics,Life sciences;Computing,,Female,Student,Germany,151-200,2018,Santa Fe,
,Life sciences;Engineering and engineering trades,3,Engineering,Engineering and engineering trades,,Female,Student,United States,Top 50,2018,Santa Fe,
,Life sciences;Engineering and engineering trades,3,Neuroscience,Social and behavioural science,,Female,Student,United States,51-100,2018,Santa Fe,
,Life sciences;Mathematics and statistics,2,Biology,Life sciences,,Male,Student,United States,301-400,2017,Santa Fe,
,Life sciences;Mathematics and statistics,2,Mathematics,Mathematics and statistics,,Male,Student,United States,Top 50,2017,Santa Fe,
"Biology, Genetics",Life sciences;Mathematics and statistics,4,Biology,Life sciences,,Male,,United States,Not University,2006,Santa Fe,
"Biology, Genetics",Life sciences;Mathematics and statistics,4,Physics,Physical sciences,,Male,Student,Germany,401-500,2006,Santa Fe,
"Biology, Genetics",Life sciences;Mathematics and statistics,4,Chemistry,Physical sciences,,Male,Student,United Kingdom,Top 50,2006,Santa Fe,
"Biology, Genetics",Life sciences;Mathematics and statistics,4,Chemistry,Physical sciences,,Male,Student,United Kingdom,Top 50,2006,Santa Fe,
,Mathematics and statistics,4,Ecology,Life sciences,,Female,Student,Spain,301-400,2018,Santa Fe,
"Nonlinear Dynamics, Computer Science (?)",Mathematics and statistics,3,Computer Science,Computing,,Male,Student,United States,Top 50,2006,Santa Fe,
Mathematics,Mathematics and statistics,4,"Econometrics, Operations Research",Mathematics and statistics,Indian,Male,PostDoc,Canada,Unlisted,2013,Santa Fe,
,Mathematics and statistics,7,Physics,Physical sciences,,Male,Student,United States,Unlisted,2018,Santa Fe,
Mathematics,Mathematics and statistics,4,Geography,Physical sciences,French,Female,Researcher,Austria,Unlisted,2013,Santa Fe,
,Mathematics and statistics,4,Physics,Physical sciences,,Female,Student,United Kingdom,Top 50,2018,Santa Fe,
,Mathematics and statistics,4,Medicine,Health,,Male,Postdoc,United States,Top 50,2018,Santa Fe,
,Mathematics and statistics,7,Engineering,Engineering and engineering trades,Peru,Male,Government,United States,Not University,2018,Santa Fe,
Mathematics,Mathematics and statistics,1,Mathematics,Mathematics and statistics,,Female,Student,Japan,Top 50,2006,Santa Fe,
,Mathematics and statistics,7,"Physics, Network Science",Physical sciences;Computing,,Male,Student,Canada,201-300,2018,Santa Fe,
,Mathematics and statistics,4,Mathematics,Mathematics and statistics,,Male,Student,Germany,Not University,2006,Beijing,
,Mathematics and statistics,1,Engineering,Engineering and engineering trades,,Male,Industry,United States,Not University,2006,Santa Fe,
"Nonlinear Dynamics, Computer Science (?)",Mathematics and statistics,3,Mathematics,Mathematics and statistics,,Male,Industry,United States,Not University,2006,Santa Fe,
,Mathematics and statistics,7,Physics,Physical sciences,,Female,Student,United States,201-300,2018,Santa Fe,
Mathematics,Mathematics and statistics,4,Ecology,Life sciences,,Female,Student,United States,Top 50,2013,Santa Fe,
Dynamics,Mathematics and statistics,6,Cognitive Neuroscience,Social and behavioural science,,Male,Postdoc,Israel,Not University,2008,Santa Fe,
,Mathematics and statistics,4,Computer Science,Computing,,Female,Professor,France,Not University,2018,Santa Fe,
,Mathematics and statistics,7,Mathematics,Mathematics and statistics,,Male,Student,United States,51-100,2018,Santa Fe,
,Mathematics and statistics,4,Computational Neuroscience,Social and behavioural science,,Male,Student,United States,Top 50,2006,Beijing,
,Mathematics and statistics,4,Ecology,Life sciences,,Male,Student,United States,Top 50,2018,Santa Fe,
,Mathematics and statistics,4,Animal Behavior,Life sciences,,Female,Postdoc,United Kingdom,151-200,2018,Santa Fe,
"Biology, Networks",Mathematics and statistics,3,Engineering,Engineering and engineering trades,,Female,Student,United States,51-100,2009,Santa Fe,
,Mathematics and statistics,4,Engineering,Engineering and engineering trades,,Female,Professor,United States,Unlisted,2018,Santa Fe,
Dynamics,Mathematics and statistics,6,Oceanography,Physical sciences,,Male,Student,United States,201-300,2008,Santa Fe,
"Nonlinear Dynamics, Computer Science (?)",Mathematics and statistics,3,Engineering,Engineering and engineering trades,,Male,Student,Slovenia,401-500,2006,Santa Fe,
Dynamics,Mathematics and statistics,6,"Mathematics, Statistics",Mathematics and statistics,,Male,Student,Australia,Top 50,2008,Santa Fe,
,Mathematics and statistics,4,Neuroscience,Social and behavioural science,,Female,Postdoc,United States,Top 50,2006,Beijing,
,Mathematics and statistics,4,Physics,Physical sciences,United Kingdom,Male,Student,United States,Top 50,2018,Santa Fe,
,Mathematics and statistics,7,Physics,Physical sciences,United Kingdom,Male,Student,United States,Top 50,2018,Santa Fe,
Mathematics,Mathematics and statistics,4,Media Arts and Sciences,Arts,,Female,Researcher,United States,Top 50,2013,Santa Fe,
,Mathematics and statistics,7,"Mathematics, Biology",Mathematics and statistics;Life sciences,,Female,Student,United Kingdom,Top 50,2018,Santa Fe,
,Mathematics and statistics,4,Bioinformatics,Life sciences;Computing,China,Male,Student,China,201-300,2006,Beijing,
Dynamics,Mathematics and statistics,6,Electrical Engineering,Engineering and engineering trades,,Male,Student,United States,51-100,2008,Santa Fe,
"Biology, Networks",Mathematics and statistics,3,"Biology, Ecology",Life sciences,,Female,Student,United States,Top 50,2009,Santa Fe,https://www.ars.usda.gov/plains-area/temple-tx/grassland-soil-and-water-research-laboratory/people/kathrine-behrman/
Dynamics,Mathematics and statistics,6,Physics,Physical sciences,,Male,Student,United States,Top 50,2008,Santa Fe,
"Biology, Networks",Mathematics and statistics,3,Ecology,Life sciences,,Male,Student,United States,Top 50,2009,Santa Fe,https://groups.oist.jp/evolution
,Mathematics and statistics,2,,,,,,United States,Top 50,2005,Beijing,"Could also be Xue Fu; the citation says Fu, A., but this person does not exist."
Dynamics,Mathematics and statistics,6,"Ecology, Electrical Engineering",Life sciences;Engineering and engineering trades,,Male,Postdoc,United States,Not University,2008,Santa Fe,
,Mathematics and statistics,2,,,,Male,,United States,,2005,Beijing,"Does not have an affiliation, but it still says which country the person arrived from."
Medicine,Medicine,2,"Semiotics, Linguistics",Humanities,Italian,Male,PostDoc,Denmark,51-100,2012,Santa Fe,
Medicine,Medicine,2,Aerospace Engineering,Engineering and engineering trades,Indian,Female,Student,India,401-500,2012,Santa Fe,
,Physical sciences,4,Chemistry,Physical sciences,Netherlands,Male,Student,United States,Top 50,2006,Beijing,
,Physical sciences,7,Neuroscience,Social and behavioural science,,Male,Student,United States,Not University,2016,Santa Fe,
Geology,Physical sciences,5,Physics,Physical Sciences,China,Female,Student,Germany,401-500,2010,Santa Fe,
,Physical sciences,4,Biostatistics,Life sciences;Mathematics and statistics,,Female,Student,United States,Top 50,2006,Beijing,
,Physical sciences,4,Mathematics,Mathematics and statistics,,Male,Student,Germany,Not University,2006,Beijing,
,Physical sciences,3,Engineering,Engineering and engineering trades,,,Government,United States,Not University,2017,Santa Fe,
,Physical sciences,4,Economics,Social and behavioural science,,Male,Student,United States,Unlisted,2017,Santa Fe,
,Physical sciences,4,Economics,Social and behavioural science,,Male,Student,United States,Top 50,2017,Santa Fe,
Physics,Physical sciences,4,Statistics,Mathematics and statistics,,Female,Student,China,51-100,2007,Beijing,
,Physical sciences,4,Engineering,Engineering and engineering trades,,Male,Industry,,Not University,2017,Santa Fe,
,Physical sciences,7,Neuroscience,Social and behavioural science,,Male,Postdoc,United States,Top 50,2016,Santa Fe,
,Physical sciences,7,Engineering,Engineering and engineering trades,,Female,Postdoc,United Kingdom,Not University,2016,Santa Fe,
Geology,Physical sciences,5,"Biology, Ecology",Life sciences,,Male,Student,United States,Unlisted,2010,Santa Fe,
,Physical sciences,4,Mathematics,Mathematics and statistics,,Female,Researcher,United States,Not University,2017,Santa Fe,
,Physical sciences,4,Engineering,Engineering and engineering trades,,Male,Student,Iran,Unlisted,2006,Beijing,
Physics,Physical sciences,4,Molecular Biology,Life sciences,,Male,Student,United States,101-150,2007,Beijing,
Physics,Physical sciences,6,Physics,Physical sciences,,Male,Student,Canada,151-200,2008,Santa Fe,
Physics,Physical sciences,6,"Physics, Astronomy",Physical sciences,,Male,Student,Canada,151-200,2008,Santa Fe,
Geology,Physical sciences,5,Geology,Social and behavioural science,,Male,Student,United States,Top 50,2010,Santa Fe,
,Physical sciences,7,Physics,Physical sciences,,Male,Student,United States,51-100,2016,Santa Fe,
Chemistry,Physical sciences,2,Medicine,Health,German,Male,Researcher,United States,301-400,2012,Santa Fe,
,Physical sciences,7,Computer Science,Computing,,Female,Student,United States,151-200,2016,Santa Fe,
Physics,Physical sciences,4,Human Genetics,Life sciences,,Female,Student,United States,Top 50,2007,Beijing,
Physics,Physical sciences,4,Physics,Physical sciences,Turkey,Male,Student,United States,301-400,2007,Beijing,
Geology,Physical sciences,5,Sociology,Social and behavioural science,United States,Male,Student,United Kingdom,Top 50,2010,Santa Fe,
Physics,Physical sciences,6,Environmental protection,Environmental protection,South Africa,Male,Student,United Kingdom,Top 50,2008,Santa Fe,
,Physical sciences,3,Computer Science,Computing,,Female,Student,United Kingdom,301-400,2017,Santa Fe,
,Physical sciences,7,Complex Systems,Physical sciences,,Male,Student,Australia,51-100,2016,Santa Fe,
Geology,Physical sciences,5,Ecology,Life sciences,,Male,Student,United States,Top 50,2010,Santa Fe,
,Physical sciences,3,Economics,Social and behavioural science,,Male,Student,United States,101-150,2017,Santa Fe,
Life sciences,Physical sciences,6,Bioinformatics,Life sciences;Computing,,Female,Student,Austria,151-200,2008,Santa Fe,
Chemistry,Physical sciences,2,Physics,Physical sciences,,Male,Student,Poland,301-400,2012,Santa Fe,
,Physical sciences,7,"Biology, Data Science",Life sciences;Mathematics and statistics,,Male,Student,United States,Top 50,2016,Santa Fe,
Life sciences,Physical sciences,6,Computer Science,Computing,,Female,Student,Sweden,51-100,2008,Santa Fe,
Life sciences,Physical sciences,6,Genetics,Life sciences,,Female,Student,United States,Top 50,2008,Santa Fe,
Climate Change,Physical sciences;Environmental protection,4,Computer Science,Computing,,Male,Student,United States,Unlisted,2008,Santa Fe,
Climate Change,Physical sciences;Environmental protection,4,"Physics, Astronomy",Physical sciences,,Male,Student,Canada,151-200,2008,Santa Fe,
Climate Change,Physical sciences;Environmental protection,4,Computer Science,Computing,Italy,Male,Student,Switzerland,Unlisted,2008,Santa Fe,
Climate Change,Physical sciences;Environmental protection,4,Environmental protection,Environmental protection,South Africa,Male,Student,United Kingdom,Top 50,2008,Santa Fe,
"Physics, Ecology",Physical sciences;Life sciences,5,Computer Science,Computing,,Male,Student,United Kingdom,Unlisted,2010,Santa Fe,
"Physics, Ecology",Physical sciences;Life sciences,5,Physics,Physical Sciences,,Female,Student,Slovenia,Not University,2010,Santa Fe,
"Physics, Ecology",Physical sciences;Life sciences,5,Biology,Life sciences,,Female,Student,United States,Top 50,2010,Santa Fe,
"Physics, Ecology",Physical sciences;Life sciences,5,"Biology, Ecology",Life sciences,,Female,Student,United States,Top 50,2010,Santa Fe,
"Physics, Ecology",Physical sciences;Life sciences,5,Biology,Life sciences,,Male,Student,United States,51-100,2010,Santa Fe,
"Physics, Mathematics",Physical sciences;Mathematics and statistics,3,Environmental Science,Environmental protection,,Male,Student,Costa Rica,Not University,2009,Santa Fe,
"Physics, Mathematics",Physical sciences;Mathematics and statistics,3,Ecology,Life sciences,Hungary,Female,Student,Germany,Unlisted,2009,Santa Fe,
"Physics, Mathematics",Physical sciences;Mathematics and statistics,3,Ecology,Life sciences,,Male,Student,United States,Top 50,2009,Santa Fe,
"Game Theory, Economics",Social and behavioral sciences,2,Economics,Social and behavioural science,,Male,Student,United States,Top 50,2007,Santa Fe,
Social Science,Social and behavioral sciences,7,Cognitive Science,Social and behavioural science,,Male,Student,United States,Top 50,2007,Santa Fe,
Social Science,Social and behavioral sciences,7,Computational Social Science,Social and behavioural science;Computing,,Male,Student,United States,201-300,2007,Santa Fe,
Social Science,Social and behavioral sciences,7,"Communication, Culture, Technology",Journalism and information,United States,Male,Student ,United States,201-300,2007,Santa Fe,
Cognition,Social and behavioral sciences,2,"Political Theory, Philosophy, Sociology",Social and behavioural science,Germany,Male,Student ,United Kingdom,151-200,2007,Santa Fe,
Social Science,Social and behavioral sciences,7,"Biology, Conservation",Life sciences;Environmental protection,,Male,Postdoc,United States,Not University,2007,Santa Fe,
Social Science,Social and behavioral sciences,7,,,,,,United States,Not University,2007,Santa Fe,
Social Science,Social and behavioral sciences,7,"Economisc, International Politics",Social and behavioural science,,Male,Student ,United States,151-200,2007,Santa Fe,
Cognition,Social and behavioral sciences,2,"Physics, Computer Science, Engineering",Physical sciences;Engineering and engineering trades,,Male,Student,United States,51-100,2007,Santa Fe,
"Game Theory, Economics",Social and behavioral sciences,2,Information Systems,Computing,,Male,Student,Switzerland,101-150,2007,Santa Fe,
Human Behavior,Social and behavioral sciences,2,Computer Science,Computing,,Male,Student,United States,301-400,2007,Santa Fe,
Social Science,Social and behavioral sciences,7,"Anthropology, Evolutionary Ecology",Social and behavioural science;Life sciences,,Male,Student,United States,301-400,2007,Santa Fe,
Human Behavior,Social and behavioral sciences,2,Metabolism Theory,Life sciences,,Female,Student,United States,301-400,2007,Santa Fe,
Networks,Social and behavioral sciences;Computing,10,Wireless Communication,Engineering and engineering trades,,Male,Student,China,Unlisted,2007,Beijing,
Networks,Social and behavioral sciences;Computing,10,Sociology,Social and behavioural science,,Male,Student,China,151-200,2007,Beijing,
Networks,Social and behavioral sciences;Computing,10,Anthropology,Social and behavioural science,,Male,Student,United States,Top 50,2007,Beijing,
Networks,Social and behavioral sciences;Computing,10,Applied Mathematics,Mathematics and statistics,,,Student,China,Top 50,2007,Beijing,
Networks,Social and behavioral sciences;Computing,10,Network Security,Computing,China,Male,Student,China,Top 50,2007,Beijing,
Networks,Social and behavioral sciences;Computing,10,,,,Female,,Nigeria,Unlisted,2007,Beijing,
Networks,Social and behavioral sciences;Computing,10,Physics,Physical sciences,,Male,Student,United States,151-200,2007,Beijing,
Networks,Social and behavioral sciences;Computing,10,Physics,Physical sciences,,Female,Student,Philippines,Unlisted,2007,Beijing,
Networks,Social and behavioral sciences;Computing,10,Sociology,Social and behavioural science,,Male,Student,United States,Top 50,2007,Beijing,
Networks,Social and behavioral sciences;Computing,10,Management Science and Engineering,Mathematics and statistics;Engineering and engineering trades,,Male,Student,China,101-150,2007,Beijing,
,Social and behavioural science,4,Physics,Physical sciences,,Male,Industry,Netherlands,Not University,2015,Santa Fe,Possibly published
,Social and behavioural science,7,"Medicine, Biology",Health;Life sciences,,Male,Student,United States,301-400,2016,Santa Fe,
Psychology,Social and behavioural science,3,Systems and Computational Biology,Life sciences,,Male,Student,United States,301-400,2012,Santa Fe,
Social Science,Social and behavioural science,7,Physics,Physical sciences,,Male,Student,Lebanon,Unlisted,2013,Santa Fe,
"Social Networks, Social Science",Social and behavioural science,4,"Mathematics, Biology",Mathematics and statistics;Life sciences,,Male,Student,United States,101-150,2009,Santa Fe,
,Social and behavioural science,11,Geochemistry,Physical sciences,,Male,Student,United States,101-150,2016,Santa Fe,
,Social and behavioural science,7,Mathematics,Mathematics and statistics,Ecuador,Male,Student,United States,101-150,2018,Santa Fe,
Economics,Social and behavioural science,4,Applied Mathematics,Mathematics and statistics,Colombian,Male,Student,United States,101-150,2012,Santa Fe,
Economics,Social and behavioural science,11,Physics,Physical sciences,United States,Male,Student,United States,101-150,2014,Santa Fe,
,Social and behavioural science,4,Ecology,Life sciences,,Male,Postdoc,United States,Not University,2015,Santa Fe,
"Politics, Networks",Social and behavioural science,3,"Bioinformatics, Engineering",Engineering and engineering trades,,Male,Student,Switzerland,51-100,2008,Santa Fe,
Human Behavior,Social and behavioural science,6,Marine Ecology,Life sciences,,,Student,Germany,401-500,2008,Santa Fe,
Political Science,Social and behavioural science,6,Physics,Physical Sciences,,Male,Student,United States,101-150,2010,Santa Fe,
Social Science,Social and behavioural science,7,Mathematics,Mathematics and statistics,,Male,PostDoc,United States,101-150,2013,Santa Fe,
"Geography, Social Science",Social and behavioural science,3,Physics,Physical Sciences,,Male,Student,United States,Top 50,2009,Santa Fe,
"Economics, Geography",Social and behavioural science,4,Physics,Physical Sciences,,Male,Student,United States,Top 50,2009,Santa Fe,
"Economics, Social Science",Social and behavioural science,6,Physics,Physical Sciences,,Male,Student,United States,Top 50,2009,Santa Fe,
,Social and behavioural science,8,Earth and Ocean Sciences,Physical sciences,,Male,Student,United Kingdom,101-150,2016,Santa Fe,
,Social and behavioural science,7,Earth and Ocean Sciences,Physical sciences,,Male,Student,United Kingdom,101-150,2016,Santa Fe,
,Social and behavioural science,3,Engineering,Engineering and engineering trades,,Female,Professor,United States,Unlisted,2018,Santa Fe,
,Social and behavioural science,3,Statistics,Mathematics and statistics,,Male,Student,United States,201-300,2016,Santa Fe,
Social Science,Social and behavioural science,4,Sociology,Social and behavioural science,,Male,Student,United States,Top 50,2010,Santa Fe,
,Social and behavioural science,4,Engineering,Engineering and engineering trades,,Male,Student,United States,Top 50,2015,Santa Fe,
Economics,Social and behavioural science,4,"Physics, Mathematics",Physical sciences;Mathematics and statistics,Russian,Female,PostDoc,Russia,Not University,2012,Santa Fe,
Social Science,Social and behavioural science,4,Computer Science,Computing,,Male,Student,United States,Top 50,2010,Santa Fe,
,Social and behavioural science,4,Urban Planning,Architecture and building,,Male,Student,United States,Top 50,2015,Santa Fe,
,Social and behavioural science,7,Computer Science,Computing,,,Student,United States,401-500,2018,Santa Fe,
,Social and behavioural science,9,"Economics, Business",Social and behavioural science;Business and administration,,Male,Industry,United States,Not University,2017,Santa Fe,
,Social and behavioural science,11,Engineering,Engineering and engineering trades,China,Male,Student,Netherlands,151-200,2016,Santa Fe,
Political Science,Social and behavioural science,6,Public Policy,Social and behavioural science,,Male,Student,Netherlands,151-200,2010,Santa Fe,
Political Science,Social and behavioural science,6,Political Science,Social and behavioural science,,Male,Government,United States,Not University,2009,Santa Fe,
,Social and behavioural science,4,"Biology, Computer Science",Life sciences;Computing,France,Male,Student,United Kingdom,Unlisted,2018,Santa Fe,
,Social and behavioural science,11,Economics,Social and behavioural science,,Male,Student,France,301-400,2016,Santa Fe,
Psychology,Social and behavioural science,4,Economics,Social and behavioural science,Spanish,Male,Student,Italy,Unlisted,2014,Santa Fe,
Policy,Social and behavioural science,6,Economics,Social and behavioural science,Spanish,Male,Student,Italy,Unlisted,2014,Santa Fe,
,Social and behavioural science,4,Physics,Physical sciences,,Male,Student,United Kingdom,Not University,2016,Santa Fe,
Social Science,Social and behavioural science,2,Mathematics,Mathematics and statistics,,Female,Student,Germany,Unlisted,2009,Santa Fe,
"Economics, Social Science",Social and behavioural science,6,Economics,Social and behavioural science,,Male,Student,United States,201-300,2009,Santa Fe,
Economics,Social and behavioural science,11,Economics,Social and behavioural science,,Male,Student,United States,201-300,2014,Santa Fe,
,Social and behavioural science,3,Economics,Social and behavioural science,,Male,Student,United States,201-300,2015,Santa Fe,Possibly published
,Social and behavioural science,8,Economics,Social and behavioural science,,Female,Student,United States,201-300,2016,Santa Fe,
,Social and behavioural science,7,Computational Social Science,Computing;Social and behavioural science,,Male,Student,United States,201-300,2018,Santa Fe,
Social Science,Social and behavioural science,7,Aeronautics,Engineering and engineering trades,,Male,Researcher,Germany,Not University,2013,Santa Fe,
Psychology,Social and behavioural science,4,Mathematics,Mathematics and statistics,German,Female,PostDoc,Germany,51-100,2012,Santa Fe,
"Social Networks, Social Science",Social and behavioural science,5,Public Policy,Social and behavioural science,,Female,Student,China,151-200,2009,Santa Fe,
"Economics, Geography",Social and behavioural science,4,Public Health,Health,,Male,Student,United States,Top 50,2009,Santa Fe,
"Economics, Geography",Social and behavioural science,3,Public Health,Health,,Male,Student,United States,Top 50,2009,Santa Fe,
"Politics, Networks",Social and behavioural science,3,Political Science,Social and behavioural science,,Male,Postdoc,United States,Top 50,2008,Santa Fe,
Psychology,Social and behavioural science,3,"Sociology, Political Science",Social and behavioural science,,Male,Student,United States,Top 50,2012,Santa Fe,
"Social Science,",Social and behavioural science,4,"Engineering, Mathematics",Engineering and engineering trades;Mathematics and statistics,,Male,Student,United Kingdom,Top 50,2010,Santa Fe,
,Social and behavioural science,3,Physics,Physical sciences,Germany,Male,Student,Italy,Unlisted,2016,Santa Fe,
Social Science,Social and behavioural science,7,Information Systems,Computing,Indian,Male,Student,India,Unlisted,2013,Santa Fe,
Psychology,Social and behavioural science,4,Inquiry Methodology,Humanities,United States,Male,Student,United States,101-150,2012,Santa Fe,
Psychology,Social and behavioural science,3,Cognitive Science and Informatics,Social and behavioural science,United States,Male,Student,United States,101-150,2012,Santa Fe,
Policy,Social and behavioural science,6,Urban Planning,Architecture and building,Brazilian,Male,Researcher,Brazil,Not University,2014,Santa Fe,
"Economics, Social Science",Social and behavioural science,6,Biology,Life sciences,,Female,Student,Portugal,Not University,2009,Santa Fe,
Policy,Social and behavioural science,6,Economics,Social and behavioural science,United States,Male,PostDoc,United States,Not University,2014,Santa Fe,
,Social and behavioural science,8,Physics,Physical sciences,,Male,Researcher,Austria,Not University,2015,Santa Fe,
,Social and behavioural science,7,Economics,Social and behavioural science,,Male,Researcher,,Not University,2016,Santa Fe,
,Social and behavioural science,8,"Medicine, Epidemiology",Health,Spain,Male,Student,United States,Top 50,2016,Santa Fe,
Social Science,Social and behavioural science,3,Engineering,Engineering and engineering trades,Italy,Male,Student,Belgium,51-100,2009,Santa Fe,
,Social and behavioural science,3,Culture Technology,Humanities,,Male,Student,South Korea,201-300,2017,Santa Fe,
,Social and behavioural science,4,"Physics, Network Science",Physical sciences;Computing,,Male,Student,Canada,201-300,2018,Santa Fe,
"Social Networks, Social Science",Social and behavioural science,4,Engineering,Engineering and engineering trades,,Male,Industry,United States,Not University,2009,Santa Fe,
,Social and behavioural science,6,Economics,Social and behavioural science,,Male,Industry,United States,Not University,2016,Santa Fe,
,Social and behavioural science,3,Engineering,Engineering and engineering trades,,Female,Student,United States,Top 50,2018,Santa Fe,
Social Science,Social and behavioural science,7,Physics,Physical sciences,,Male,Researcher,Germany,Not University,2013,Santa Fe,
Psychology,Social and behavioural science,4,Physics,Physical sciences,,Male,Student,Germany,Not University,2014,Santa Fe,
Policy,Social and behavioural science,6,Physics,Physical sciences,,Male,Student,Germany,Not University,2014,Santa Fe,
Psychology,Social and behavioural science,4,Climate Science,Physical sciences,,Male,Student,Germany,Not University,2012,Santa Fe,
,Social and behavioural science,7,Biology,Life sciences,,Female,Student,Germany,Not University,2018,Santa Fe,
Social Science,Social and behavioural science,7,Demography,Social and behavioural science,,Male,Student,Germany,Not University,2013,Santa Fe,
"Social Science,",Social and behavioural science,4,Physics,Physical Sciences,,Male,Student,Austria,151-200,2010,Santa Fe,
"Social Science, Communicatio",Social and behavioural science,2,Computer Science,Computing,,Female,Industry,United States,Not University,2010,Santa Fe,
"Social Science, Communicatio",Social and behavioural science,2,Computer Science,Computing,,Male,Industry,United States,Not University,2010,Santa Fe,
"Social Networks, Social Science",Social and behavioural science,5,Engineering,Engineering and engineering trades,United States,Male,Industry,United States,Not University,2009,Santa Fe,
"Economics, Social Science",Social and behavioural science,6,Engineering,Engineering and engineering trades,United States,Male,Industry,United States,Not University,2009,Santa Fe,
Political Science,Social and behavioural science,4,Aeronautics,Physical sciences,,Male,Industry,United States,Not University,2012,Santa Fe,
Policy,Social and behavioural science,6,Computer Science,Computing,,Male,Industry,United States,Not University,2014,Santa Fe,
,Social and behavioural science,8,Computer Science,Computing,,Male,Government,United States,Not University,2016,Santa Fe,
,Social and behavioural science,8,Software Engineer,Computing,,Female,Government,United States,Not University,2016,Santa Fe,
,Social and behavioural science,7,Engineering,Engineering and engineering trades,,Male,Government,United States,Not University,2016,Santa Fe,
,Social and behavioural science,7,Engineering,Engineering and engineering trades,,Male,Government,United States,Not University,2018,Santa Fe,
,Social and behavioural science,5,Engineering,Engineering and engineering trades,,Male,Postdoc,Australia,51-100,2017,Santa Fe,
,Social and behavioural science,8,Biomedicine,Life sciences;Health,,Male,Researcher,Russia,401-500,2016,Santa Fe,
"Social Networks, Social Science",Social and behavioural science,4,Engineering,Engineering and engineering trades,,Male,Student,Singapore,51-100,2009,Santa Fe,
Social Science,Social and behavioural science,7,Engineering & Public Policy,Engineering and engineering trades,,Female,PostDoc,United States,Not University,2013,Santa Fe,
"Economics, Social Science",Social and behavioural science,6,Physics,Physical Sciences,,Female,Student,Singapore,51-100,2009,Santa Fe,
,Social and behavioural science,4,"Mathematics, Engineering",Mathematics and statistics;Engineering and engineering trades,,Male,Student,Singapore,51-100,2015,Santa Fe,
Human Behavior,Social and behavioural science,6,Physics,Physical sciences,China,Male,Student,Singapore,51-100,2008,Santa Fe,
Economics,Social and behavioural science,11,Engineering,Engineering and engineering trades,Singapore,Male,Student,Singapore,51-100,2014,Santa Fe,
